Date,Ticker,Sector,PE,ROE,Momentum,RSI,Action
2026-05-01,CARG,Consumer Cyclical,23.78,34.9%,0.1113,68.2,🟡 持有
2026-05-01,CDLR,Industrials,7.83,21.1%,0.1796,69.1,🟡 持有
2026-05-01,CI,Healthcare,11.98,15.3%,0.0477,56.7,🟡 持有
2026-05-01,CNI,Industrials,20.38,22.4%,0.0747,52.0,🟡 持有
2026-05-01,CNS,Financial,22.94,29.1%,0.1058,65.1,🟡 持有
2026-05-01,CON,Healthcare,17.5,49.8%,0.0785,51.9,🟡 持有
2026-05-01,CPRX,Healthcare,17.06,25.5%,0.164,69.9,🟡 持有
2026-05-01,CRH,Basic Materials,21.39,16.5%,0.1034,46.3,🟡 持有
2026-05-01,CRUS,Technology,21.63,19.9%,0.1163,53.6,🟡 持有
2026-05-01,CSL,Industrials,20.83,38.4%,0.0783,50.1,🟡 持有
2026-05-01,CSTM,Basic Materials,10.33,46.7%,0.1589,60.4,🟡 持有
2026-05-01,DKL,Energy,17.01,439.4%,0.073,75.2,🔴 止盈
2026-05-01,DKS,Consumer Cyclical,21.97,19.4%,0.1714,64.1,🟡 持有
2026-05-01,DLO,Technology,20.47,37.2%,0.0692,52.2,🟡 持有
2026-05-01,DVA,Healthcare,15.87,635.3%,0.0417,50.1,🟡 持有
2026-05-01,EBAY,Consumer Cyclical,23.63,42.8%,0.1055,61.3,🟡 持有
2026-05-01,ECO,Industrials,14.75,25.0%,0.0649,67.2,🟡 持有
2026-05-01,ENVA,Financial,13.85,25.1%,0.2488,75.6,🔴 止盈
2026-05-01,EWBC,Financial,12.56,16.4%,0.1544,74.4,🟡 持有
2026-05-01,FBP,Financial,10.83,19.0%,0.1182,64.5,🟡 持有
2026-05-01,FDX,Industrials,20.96,15.8%,0.0886,62.8,🟡 持有
2026-05-01,FOX,Communication Services,13.7,16.9%,0.0768,54.0,🟡 持有
2026-05-01,FOXA,Communication Services,15.25,16.9%,0.0807,54.5,🟡 持有
2026-05-01,FTDR,Consumer Cyclical,19.61,121.5%,0.2605,76.9,🔴 止盈
2026-05-01,GL,Financial,10.56,20.6%,0.071,68.1,🟡 持有
2026-05-01,GLPI,Real Estate,15.13,20.1%,0.0752,57.7,🟡 持有
2026-05-01,HBM,Basic Materials,15.91,19.7%,0.0536,41.0,🟡 持有
2026-05-01,HG,Financial,5.45,22.4%,0.0412,56.4,🟡 持有
2026-05-01,ILMN,Healthcare,24.64,33.8%,0.0659,60.2,🟡 持有
2026-05-01,INSW,Energy,13.65,16.0%,0.1295,75.2,🔴 止盈
2026-05-01,JPM,Financial,14.97,16.4%,0.0661,48.4,🟡 持有
2026-05-01,KALU,Basic Materials,18.92,18.8%,0.3261,77.4,🔴 止盈
2026-05-01,KOF,Consumer Defensive,17.09,16.6%,0.0408,43.3,🟡 持有
2026-05-01,KSPI,Technology,8.05,52.8%,0.1846,64.7,🟡 持有
2026-05-01,KTB,Consumer Cyclical,17.81,47.1%,0.0462,48.0,🟡 持有
2026-05-01,LAMR,Real Estate,24.34,57.0%,0.0996,76.9,🔴 止盈
2026-05-01,LEVI,Consumer Cyclical,19.25,25.4%,0.1859,51.0,🟡 持有
2026-05-01,LII,Industrials,23.7,75.8%,0.1577,53.1,🟡 持有
2026-05-01,MATX,Industrials,12.45,16.4%,0.043,52.0,🟡 持有
2026-05-01,MCRI,Consumer Cyclical,19.95,20.1%,0.2166,81.2,🔴 止盈
2026-05-01,MCY,Financial,9.85,24.8%,0.0914,57.9,🟡 持有
2026-05-01,MLI,Industrials,17.43,28.2%,0.2015,63.9,🟡 持有
2026-05-01,MS,Financial,17.23,16.4%,0.1531,64.4,🟡 持有
2026-05-01,MUSA,Consumer Cyclical,20.63,80.3%,0.1881,75.9,🔴 止盈
2026-05-01,NEE,Utilities,24.61,15.6%,0.0408,61.5,🟡 持有
2026-05-01,NTAP,Technology,18.75,112.6%,0.0845,82.1,🔴 止盈
2026-05-01,NTB,Financial,9.64,21.9%,0.0404,44.3,🟡 持有
2026-05-01,PAG,Consumer Cyclical,12.59,16.0%,0.1373,73.1,🟡 持有
2026-05-01,PBR,Energy,7.2,29.0%,0.0714,50.5,🟡 持有
2026-05-01,PBR-A,Energy,6.47,29.0%,0.0626,49.6,🟡 持有
2026-05-01,PPG,Basic Materials,15.4,21.0%,0.0414,45.1,🟡 持有
2026-05-01,PRI,Financial,12.07,31.8%,0.091,68.5,🟡 持有
2026-05-01,QCOM,Technology,19.25,36.1%,0.396,88.4,🔴 止盈
2026-05-01,R,Industrials,21.04,16.8%,0.2138,69.2,🟡 持有
2026-05-01,RCI,Communication Services,3.86,50.5%,0.0403,72.2,🟡 持有
2026-05-01,RIO,Basic Materials,16.5,17.0%,0.0649,54.0,🟡 持有
2026-05-01,RL,Consumer Cyclical,24.66,33.9%,0.0408,38.2,🟢 买入
2026-05-01,RY,Financial,17.15,15.5%,0.1064,66.8,🟡 持有
2026-05-01,SEIC,Financial,15.39,31.4%,0.1715,77.7,🔴 止盈
2026-05-01,SFBS,Financial,14.74,16.6%,0.0929,54.6,🟡 持有
2026-05-01,SN,Consumer Cyclical,23.23,30.4%,0.0984,48.6,🟡 持有
2026-05-01,SNA,Industrials,19.64,17.8%,0.0405,49.2,🟡 持有
2026-05-01,SNEX,Financial,23.53,16.2%,0.2469,67.5,🟡 持有
2026-05-01,SOBO,Energy,17.79,15.3%,0.0467,65.4,🟡 持有
2026-05-01,SPNT,Financial,6.32,20.9%,0.0478,58.8,🟡 持有
2026-05-01,SSD,Basic Materials,23.25,18.0%,0.1548,63.7,🟡 持有
2026-05-01,STLD,Basic Materials,24.56,15.2%,0.2723,83.8,🔴 止盈
2026-05-01,SYBT,Financial,14.78,31.4%,0.0693,49.6,🟡 持有
2026-05-01,SYF,Financial,7.84,21.8%,0.1073,56.8,🟡 持有
2026-05-01,TD,Financial,12.22,17.8%,0.1359,71.2,🟡 持有
2026-05-01,TDC,Technology,20.74,71.6%,0.0973,63.5,🟡 持有
2026-05-01,TDW,Energy,13.16,27.0%,0.0411,50.0,🟡 持有
2026-05-01,TGT,Consumer Defensive,15.85,24.0%,0.0701,73.4,🟡 持有
2026-05-01,THG,Financial,9.4,20.6%,0.061,60.4,🟡 持有
2026-05-01,TIGO,Communication Services,10.76,36.2%,0.0855,53.2,🟡 持有
2026-05-01,TNK,Energy,7.97,18.5%,0.0453,66.3,🟡 持有
2026-05-01,TRN,Industrials,11.62,24.6%,0.1085,56.4,🟡 持有
2026-05-01,TROW,Financial,11.08,19.3%,0.1469,82.5,🔴 止盈
2026-05-01,TTAM,Basic Materials,16.63,20.8%,0.1153,57.0,🟡 持有
2026-05-01,UGP,Energy,15.04,18.0%,0.0623,44.8,🟡 持有
2026-05-01,UNP,Industrials,21.92,40.7%,0.0883,65.5,🟡 持有
2026-05-01,UPS,Industrials,16.41,33.8%,0.0956,62.8,🟡 持有
2026-05-01,URI,Industrials,24.23,28.2%,0.2966,77.1,🔴 止盈
2026-05-01,VAL,Energy,7.31,36.4%,0.0427,54.4,🟡 持有
2026-05-01,VCTR,Financial,19.09,18.6%,0.2377,78.2,🔴 止盈
2026-05-01,VIRT,Financial,7.81,30.0%,0.0411,38.2,🟢 买入
2026-05-01,WFRD,Energy,17.11,29.8%,0.149,60.3,🟡 持有
2026-05-01,WLY,Communication Services,14.26,21.5%,0.0579,69.9,🟡 持有
2026-05-01,WMS,Industrials,24.49,26.5%,0.07,44.4,🟡 持有
2026-05-01,WU,Financial,6.74,47.7%,0.0574,52.9,🟡 持有
2026-05-01,YETI,Consumer Cyclical,19.78,23.8%,0.1097,65.9,🟡 持有
2026-05-01,ZM,Technology,16.66,20.3%,0.2559,81.9,🔴 止盈
